Date Checked,Site,Treatment,Block,Coleoptera,Diptera,Hymenoptera,Hemiptera,Psocodea,Lepidoptera,Orthoptera,NA
31-Jul-25,Stone Valley,Control,1,0,0,0,0,0,0,0,0
31-Jul-25,Stone Valley,R-gamma-decalactone,1,1,0,0,0,1,0,0,0
31-Jul-25,Stone Valley,Control,2,1,0,0,0,0,0,0,0
31-Jul-25,Stone Valley,R-gamma-decalactone,2,0,0,0,0,0,0,0,1
31-Jul-25,Stone Valley,Control,3,1,0,0,0,0,0,0,0
31-Jul-25,Stone Valley,R-gamma-decalactone,3,1,1,0,1,0,0,0,1
31-Jul-25,Stone Valley,Control,4,4,0,0,1,0,0,0,0
31-Jul-25,Stone Valley,R-gamma-decalactone,4,2,0,0,0,0,0,0,0
1-Aug-25,Stone Valley,Control,1,0,0,0,0,0,0,0,0
1-Aug-25,Stone Valley,R-gamma-decalactone,1,0,0,1,0,0,0,0,0
1-Aug-25,Stone Valley,Control,2,0,0,0,0,0,0,0,0
1-Aug-25,Stone Valley,R-gamma-decalactone,2,0,0,0,0,0,0,0,0
1-Aug-25,Stone Valley,Control,3,0,0,0,0,0,0,0,0
1-Aug-25,Stone Valley,R-gamma-decalactone,3,0,0,0,0,0,0,0,0
1-Aug-25,Stone Valley,Control,4,0,0,0,0,0,0,0,0
1-Aug-25,Stone Valley,R-gamma-decalactone,4,0,0,0,0,0,0,0,0
2-Aug-25,Stone Valley,Control,1,0,0,0,0,0,0,0,0
2-Aug-25,Stone Valley,R-gamma-decalactone,1,0,0,0,0,0,0,0,0
2-Aug-25,Stone Valley,Control,2,0,0,0,0,0,0,0,0
2-Aug-25,Stone Valley,R-gamma-decalactone,2,0,0,1,8,0,0,0,0
2-Aug-25,Stone Valley,Control,3,0,0,0,0,0,0,0,0
2-Aug-25,Stone Valley,R-gamma-decalactone,3,0,0,0,0,0,0,0,0
2-Aug-25,Stone Valley,Control,4,2,0,0,0,0,0,0,0
2-Aug-25,Stone Valley,R-gamma-decalactone,4,0,0,1,0,0,0,0,0
4-Aug-25,Stone Valley,Control,1,3,0,0,0,0,0,0,0
4-Aug-25,Stone Valley,R-gamma-decalactone,1,0,0,0,0,0,0,0,0
4-Aug-25,Stone Valley,Control,2,1,0,0,0,0,0,0,0
4-Aug-25,Stone Valley,R-gamma-decalactone,2,0,2,0,0,0,0,0,0
4-Aug-25,Stone Valley,Control,3,0,0,0,0,0,0,0,0
4-Aug-25,Stone Valley,R-gamma-decalactone,3,1,0,0,1,0,1,0,0
4-Aug-25,Stone Valley,Control,4,0,0,0,0,0,0,0,0
4-Aug-25,Stone Valley,R-gamma-decalactone,4,3,0,0,2,0,0,0,0
5-Aug-25,Stone Valley,Control,1,0,0,0,0,0,0,0,0
5-Aug-25,Stone Valley,R-gamma-decalactone,1,1,1,0,0,1,1,0,0
5-Aug-25,Stone Valley,Control,2,0,0,0,0,0,0,0,0
5-Aug-25,Stone Valley,R-gamma-decalactone,2,0,0,0,0,0,0,0,3
5-Aug-25,Stone Valley,Control,3,0,0,0,0,0,1,0,0
5-Aug-25,Stone Valley,R-gamma-decalactone,3,1,0,2,0,0,1,0,0
