Larva_ID,Treatment ,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10
1,control ,1,1,1,1,1,0,0,0,0,0
2,control ,1,1,1,1,1,1,1,1,1,1
3,control ,1,1,1,1,1,1,1,1,1,1
4,control ,1,1,1,1,1,1,1,1,1,1
5,control ,1,1,1,1,1,1,1,1,1,1
6,control ,1,1,1,1,1,1,1,1,1,1
7,control ,1,1,1,1,1,1,1,1,1,1
8,control ,1,1,1,1,1,1,0,0,0,0
9,control ,1,1,1,1,1,1,1,1,1,1
10,control ,1,1,1,1,1,1,1,1,1,1
11,control ,1,1,1,1,1,1,1,1,1,1
12,control ,1,1,1,1,1,1,1,1,1,1
13,control ,1,1,1,1,1,1,1,1,1,1
14,control ,1,1,1,1,1,1,1,1,1,1
15,control ,1,1,1,1,1,1,1,0,0,0
16,control ,1,1,1,1,1,1,1,1,1,1
17,control ,1,1,1,1,1,1,1,1,1,1
18,control ,1,1,1,1,1,1,1,1,1,0
19,control ,1,1,1,0,0,0,0,0,0,0
20,control ,1,1,1,1,1,1,1,1,1,0
21,control ,1,1,1,1,1,1,1,1,1,1
22,control ,1,1,1,1,1,1,1,1,1,1
23,control ,1,1,1,1,1,1,1,1,0,0
24,control ,1,1,1,1,1,1,1,1,1,1
25,control ,1,1,1,1,1,1,1,1,1,1
26,control ,1,1,1,1,1,1,1,1,1,1
27,control ,1,1,1,1,1,1,1,1,1,1
28,control ,1,1,1,1,1,1,1,1,0,0
29,control ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,control ,1,1,1,1,1,1,1,1,1,1
31,salted ,1,1,1,1,0,0,0,0,0,0
32,salted ,1,1,1,1,1,1,1,1,1,1
33,salted ,1,1,1,1,1,1,1,1,1,1
34,salted ,1,1,1,1,1,1,1,1,1,1
35,salted ,1,1,1,1,1,1,1,1,1,1
36,salted ,1,1,1,1,1,1,1,1,1,1
37,salted ,1,1,0,0,0,0,0,0,0,0
38,salted ,1,1,1,1,1,1,1,1,1,1
39,salted ,1,1,1,1,1,1,1,1,1,1
40,salted ,1,1,1,1,1,1,1,1,1,1
41,salted ,1,1,1,1,1,1,1,1,1,1
42,salted ,1,1,1,1,1,1,1,1,1,1
43,salted ,1,1,1,1,1,1,1,1,1,1
44,salted ,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,salted ,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,salted ,1,1,1,1,1,1,1,1,1,1
47,salted ,1,1,1,1,1,1,1,1,1,1
48,salted ,1,1,1,NA,0,0,0,0,0,0
49,salted ,1,1,1,1,0,0,0,0,0,0
50,salted ,1,1,0,0,0,0,0,0,0,0
51,salted ,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,salted ,1,1,1,1,1,1,1,1,1,1
53,salted ,1,1,1,1,1,1,1,1,1,1
54,salted ,1,1,1,1,1,1,1,1,1,1
55,salted ,1,1,1,1,1,1,1,1,1,1
56,salted ,1,1,0,0,0,0,0,0,0,0
57,salted ,1,1,1,1,1,1,1,1,1,1
58,salted ,1,1,1,1,1,1,1,1,1,1
59,salted ,1,1,1,0,0,0,0,0,0,0
60,salted ,1,1,1,1,1,1,1,1,0,0
