Larva_ID,Treatment ,Day_10_weight,Days alive
1,control ,NA,5
2,control ,0.025,
3,control ,0.019,
4,control ,0.032,
5,control ,0.033,
6,control ,0.019,
7,control ,0.019,
8,control ,NA,6
9,control ,0.032,
10,control ,0.028,
11,control ,0.016,
12,control ,0.01,
13,control ,0.026,
14,control ,0.027,
15,control ,NA,7
16,control ,0.023,
17,control ,0.022,
18,control ,NA,9
19,control ,NA,3
20,control ,NA,9
21,control ,0.016,
22,control ,0.022,
23,control ,NA,8
24,control ,0.028,
25,control ,0.02,
26,control ,0.028,
27,control ,0.03,
28,control ,NA,8
29,control ,NA,NA
30,control ,0.026,
31,salted ,NA,4
32,salted ,0.021,
33,salted ,0.023,
34,salted ,0.021,
35,salted ,0.021,
36,salted ,0.019,
37,salted ,NA,2
38,salted ,0.02,
39,salted ,0.016,
40,salted ,0.021,
41,salted ,0.024,
42,salted ,0.018,
43,salted ,0.02,
44,salted ,NA,1
45,salted ,NA,1
46,salted ,0.016,
47,salted ,0.019,
48,salted ,NA,3
49,salted ,NA,4
50,salted ,NA,2
51,salted ,NA,1
52,salted ,0.018,
53,salted ,0.023,
54,salted ,0.022,
55,salted ,0.025,
56,salted ,NA,2
57,salted ,0.026,
58,salted ,0.025,
59,salted ,NA,3
60,salted ,NA,8
