Date Lure Set,Date Last Checked,Date Checked,Ordinal Date,Time,Expt,Site,Lat,Lon,Elevation,Block,Lure,Osmoderma spp,Elater abruptus,Bycatch
30-Jul-25,N/A,31-Jul-25,212,9:20 AM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,1,Control,0,1,2
30-Jul-25,N/A,31-Jul-25,212,9:20 AM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,1,R-gamma-decalactone,0,0,0
30-Jul-25,N/A,31-Jul-25,212,9:25 AM,2025GDL,Stone Valley,40.644778,-77.924646,264.687134,2,Control,1,0,1
30-Jul-25,N/A,31-Jul-25,212,9:25 AM,2025GDL,Stone Valley,40.644778,-77.924646,264.687134,2,R-gamma-decalactone,0,1,1
30-Jul-25,N/A,31-Jul-25,212,9:34 AM,2025GDL,Stone Valley,40.646675,-77.922128,263.449341,3,Control,0,1,1
30-Jul-25,N/A,31-Jul-25,212,9:34 AM,2025GDL,Stone Valley,40.646675,-77.922128,263.449341,3,R-gamma-decalactone,0,2,0
30-Jul-25,N/A,31-Jul-25,212,9:50 AM,2025GDL,Stone Valley,40.648632,-77.919038,266.648132,4,Control,0,0,4
30-Jul-25,N/A,31-Jul-25,212,9:50 AM,2025GDL,Stone Valley,40.648632,-77.919038,266.648132,4,R-gamma-decalactone,0,0,2
30-Jul-25,31-Jul-25,1-Aug-25,213,9:10 AM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,1,Control,0,0,0
30-Jul-25,31-Jul-25,1-Aug-25,213,9:10 AM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,1,R-gamma-decalactone,0,1,1
30-Jul-25,31-Jul-25,1-Aug-25,213,9:40 AM,2025GDL,Stone Valley,40.644778,-77.924646,264.687134,2,Control,0,0,0
30-Jul-25,31-Jul-25,1-Aug-25,213,9:40 AM,2025GDL,Stone Valley,40.644778,-77.924646,264.687134,2,R-gamma-decalactone,0,0,0
30-Jul-25,31-Jul-25,1-Aug-25,213,9:21 AM,2025GDL,Stone Valley,40.646675,-77.922128,263.449341,3,Control,0,0,0
30-Jul-25,31-Jul-25,1-Aug-25,213,9:21 AM,2025GDL,Stone Valley,40.646675,-77.922128,263.449341,3,R-gamma-decalactone,0,1,0
30-Jul-25,31-Jul-25,1-Aug-25,213,9:34 AM,2025GDL,Stone Valley,40.648632,-77.919038,266.648132,4,Control,0,0,0
30-Jul-25,31-Jul-25,1-Aug-25,213,9:34 AM,2025GDL,Stone Valley,40.648632,-77.919038,266.648132,4,R-gamma-decalactone,0,2,0
30-Jul-25,1-Aug-25,2-Aug-25,214,12:50 PM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,1,Control,0,0,0
30-Jul-25,1-Aug-25,2-Aug-25,214,12:50 PM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,1,R-gamma-decalactone,0,0,0
30-Jul-25,1-Aug-25,2-Aug-25,214,1:39 PM,2025GDL,Stone Valley,40.644778,-77.924646,264.687134,2,Control,0,0,0
30-Jul-25,1-Aug-25,2-Aug-25,214,1:39 PM,2025GDL,Stone Valley,40.644778,-77.924646,264.687134,2,R-gamma-decalactone,0,1,10
30-Jul-25,1-Aug-25,2-Aug-25,214,1:04 PM,2025GDL,Stone Valley,40.646675,-77.922128,263.449341,3,Control,0,0,0
30-Jul-25,1-Aug-25,2-Aug-25,214,1:04 PM,2025GDL,Stone Valley,40.646675,-77.922128,263.449341,3,R-gamma-decalactone,0,0,0
30-Jul-25,1-Aug-25,2-Aug-25,214,1:15 PM,2025GDL,Stone Valley,40.648632,-77.919038,266.648132,4,Control,0,0,2
30-Jul-25,1-Aug-25,2-Aug-25,214,1:15 PM,2025GDL,Stone Valley,40.648632,-77.919038,266.648132,4,R-gamma-decalactone,0,0,1
30-Jul-25,2-Aug-25,4-Aug-25,216,9:07 AM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,1,Control,0,0,3
30-Jul-25,2-Aug-25,4-Aug-25,216,9:07 AM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,1,R-gamma-decalactone,0,2,0
30-Jul-25,2-Aug-25,4-Aug-25,216,9:15 AM,2025GDL,Stone Valley,40.644778,-77.924646,264.687134,2,Control,0,0,1
30-Jul-25,2-Aug-25,4-Aug-25,216,9:15 AM,2025GDL,Stone Valley,40.644778,-77.924646,264.687134,2,R-gamma-decalactone,0,0,2
30-Jul-25,2-Aug-25,4-Aug-25,216,9:22 AM,2025GDL,Stone Valley,40.646675,-77.922128,263.449341,3,Control,0,0,0
30-Jul-25,2-Aug-25,4-Aug-25,216,9:22 AM,2025GDL,Stone Valley,40.646675,-77.922128,263.449341,3,R-gamma-decalactone,0,1,4
30-Jul-25,2-Aug-25,4-Aug-25,216,9:40 AM,2025GDL,Stone Valley,40.648632,-77.919038,266.648132,4,Control,0,0,0
30-Jul-25,2-Aug-25,4-Aug-25,216,9:40 AM,2025GDL,Stone Valley,40.648632,-77.919038,266.648132,4,R-gamma-decalactone,0,1,5
30-Jul-25,4-Aug-25,5-Aug-25,217,9:00 AM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,1,Control,0,0,0
30-Jul-25,4-Aug-25,5-Aug-25,217,9:00 AM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,1,R-gamma-decalactone,0,0,4
30-Jul-25,4-Aug-25,5-Aug-25,217,9:00 AM,2025GDL,Stone Valley,40.644778,-77.924646,264.687134,2,Control,0,0,0
30-Jul-25,4-Aug-25,5-Aug-25,217,9:00 AM,2025GDL,Stone Valley,40.644778,-77.924646,264.687134,2,R-gamma-decalactone,0,1,3
30-Jul-25,4-Aug-25,5-Aug-25,217,9:00 AM,2025GDL,Stone Valley,40.646675,-77.922128,263.449341,3,Control,0,0,1
30-Jul-25,4-Aug-25,5-Aug-25,217,9:00 AM,2025GDL,Stone Valley,40.646675,-77.922128,263.449341,3,R-gamma-decalactone,0,0,4
30-Jul-25,4-Aug-25,5-Aug-25,217,9:00 AM,2025GDL,Stone Valley,40.648632,-77.919038,266.648132,4,Control,0,0,1
30-Jul-25,4-Aug-25,5-Aug-25,217,9:00 AM,2025GDL,Stone Valley,40.648632,-77.919038,266.648132,4,R-gamma-decalactone,0,0,3
30-Jul-25,4-Aug-25,6-Aug-25,218,9:00 AM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,1,Control,0,0,2
30-Jul-25,4-Aug-25,6-Aug-25,218,9:00 AM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,1,R-gamma-decalactone,0,2,2
30-Jul-25,4-Aug-25,6-Aug-25,218,9:00 AM,2025GDL,Stone Valley,40.644778,-77.924646,264.687134,2,Control,0,0,0
30-Jul-25,4-Aug-25,6-Aug-25,218,9:00 AM,2025GDL,Stone Valley,40.644778,-77.924646,264.687134,2,R-gamma-decalactone,0,1,1
30-Jul-25,4-Aug-25,6-Aug-25,218,9:00 AM,2025GDL,Stone Valley,40.646675,-77.922128,263.449341,3,Control,0,0,2
30-Jul-25,4-Aug-25,6-Aug-25,218,9:00 AM,2025GDL,Stone Valley,40.646675,-77.922128,263.449341,3,R-gamma-decalactone,0,0,2
